EmployeeID,Location,Department,SubmissionDate,IdeaTitle
GF10215,Singapore,Consulting,2021-06-17,Urban Energy Project
GF11097,Tokyo,Research,2023-11-17,Clean Systems Framework
GF10358,New York,Renewable Energy,2020-03-13,Smart Energy Framework
GF11669,São Paulo,Engineering,2022-03-15,Green Systems Project
GF11092,Singapore,Environmental Policy,2020-03-08,Sustainable Policy Solution
GF10442,Berlin,Engineering,2021-07-12,Smart Technology Framework
GF10157,Seoul,Engineering,2021-08-23,Sustainable Technology Model
GF11553,Singapore,Renewable Energy,2023-03-26,Renewable Infrastructure Model
GF12197,Toronto,Renewable Energy,2020-02-04,Clean Housing Plan
GF12304,Berlin,Consulting,2023-03-09,Renewable Technology Initiative
GF11361,Tokyo,Research,2021-06-20,Sustainable Systems Project
GF11396,Singapore,Renewable Energy,2021-05-17,Future Systems Strategy
GF10213,Berlin,Renewable Energy,2023-03-05,Urban Technology Framework
GF10654,London,Environmental Policy,2023-07-13,Urban Systems Approach
GF10554,Berlin,Urban Development,2021-12-20,Eco Design Strategy
GF11382,Sydney,Renewable Energy,2020-03-06,Eco Energy Initiative
GF12298,New York,Consulting,2021-01-16,Sustainable Transport Approach
GF11368,New York,Environmental Policy,2023-10-28,Renewable Infrastructure Initiative
GF11005,São Paulo,Environmental Policy,2023-02-22,Future Policy Approach
GF10671,São Paulo,Research,2020-12-07,Renewable Transport Plan
GF10007,Mumbai,Renewable Energy,2022-10-31,Green Infrastructure Framework
GF11787,Johannesburg,Urban Development,2020-07-08,Clean Technology Solution
GF10359,Singapore,Consulting,2020-10-30,Smart Housing Model
GF12448,Mumbai,Consulting,2022-02-25,Renewable Infrastructure Model
GF11547,Singapore,Environmental Policy,2022-12-27,Sustainable Infrastructure Framework
GF10287,Tokyo,Engineering,2020-12-17,Eco Technology Project
GF10028,Tokyo,Environmental Policy,2022-08-11,Renewable Technology Solution
GF11293,New York,Consulting,2022-06-27,Sustainable Systems Solution
GF11837,Tokyo,Research,2023-05-11,Smart Systems Solution
GF10418,Mumbai,Engineering,2021-06-17,Sustainable Technology Project
GF10180,London,Renewable Energy,2023-12-04,Renewable Infrastructure Solution
GF10380,Berlin,Renewable Energy,2021-06-24,Urban Design Approach
